model,opt_threshold,opt_short_thr,roc_auc,precision_long,recall_long,f1_long,sharpe_ratio,total_return,win_rate,n_trades,n_long
LightGBM,0.65,0.2,0.5883,0.5728,0.4596,0.51,8.0821,1.278,0.6491,171,171
Ensemble,0.65,0.0,0.5829,0.5717,0.2915,0.3862,0.2475,0.0141,0.1739,184,184
XGBoost,0.65,0.0,0.5644,0.537,0.3172,0.3988,8.2823,1.5512,0.6437,174,174
RandomForest,0.65,0.0,0.5555,0.0,0.0,0.0,4.7338,0.5723,0.2811,217,217
