,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Mon,0.48717948717948717,0.6428571428571429,0.8181818181818182,0.38461538461538464,,0.5555555555555556,0.8333333333333334,0.5,0.2857142857142857,0.75,,0.3333333333333333,,0.5,0.6666666666666666,,,,,,,,,
Tue,0.43103448275862066,0.5,0.5,0.5454545454545454,0.4,0.4,0.4166666666666667,0.75,0.5,0.375,,,0.2222222222222222,0.4,0.5,0.8,,,,,,,,
Wed,0.5098039215686274,0.6111111111111112,0.5714285714285714,0.42857142857142855,0.7142857142857143,,0.5,,0.2,0.5,0.5,0.16666666666666666,0.5,0.3076923076923077,0.2857142857142857,0.2,,,,,,,,
Thu,0.4411764705882353,0.56,0.4090909090909091,0.4,0.375,0.4,0.4,0.5,0.5,0.25,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.5,0.375,0.2,,,,,,,,
Fri,0.6307692307692307,0.4666666666666667,0.5333333333333333,0.5714285714285714,0.2222222222222222,,,0.5555555555555556,0.5555555555555556,,,,0.42105263157894735,0.6,0.36363636363636365,0.6,,,,,,,,
Sat,0.4166666666666667,0.575,0.7619047619047619,0.4375,0.5,,0.6,0.4444444444444444,0.5,,,0.42857142857142855,0.16666666666666666,,,,,,,,,,,
Sun,0.625,0.45454545454545453,0.52,0.6363636363636364,0.5,0.5714285714285714,,0.5833333333333334,0.3333333333333333,0.5714285714285714,0.2857142857142857,,0.5555555555555556,0.6,0.8,0.42857142857142855,,0.0,,0.2,,,,
